0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:01:44 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:08:19 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:09:52 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:11:00 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:19:47 +0900] "GET /01_html/day03/ex09_block_inline.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:21:49 +0900] "GET /01_html/day03/ex09_block_inline.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:22:15 +0900] "GET /01_html/day03/ex09_block_inline.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:41:16 +0900] "GET /01_html/day03/ex10_div.html HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:42:20 +0900] "GET /01_html/day03/ex10_div.html HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:43:23 +0900] "GET /01_html/day03/ex10_div.html HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:44:48 +0900] "GET /01_html/day03/ex10_div.html HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:51:35 +0900] "GET /01_html/day03/ex11_class.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:52:28 +0900] "GET /01_html/day03/ex11_class.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:54:02 +0900] "GET /01_html/day03/ex11_class.html HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:54:32 +0900] "GET /01_html/day03/ex11_class.html HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:00:50 +0900] "GET /01_html/day03/ex11_class.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:03:56 +0900] "GET /01_html/day03/ex11_class.html HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:11:46 +0900] "GET /01_html/day03/ex12_class.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:12:11 +0900] "GET /01_html/day03/ex12_class.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:12:46 +0900] "GET /01_html/day03/ex12_class.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:17:24 +0900] "GET /01_html/day03/ex12_class.html HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:38:03 +0900] "GET /01_html/day03/ex13_iframes.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:38:03 +0900] "GET /01_html/day03/ex08_ul_menu.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:39:39 +0900] "GET /01_html/day03/ex13_iframes.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:42:28 +0900] "GET /01_html/day03/ex13_iframes.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:42:32 +0900] "GET /01_html/day03/ex04_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:43:00 +0900] "GET /01_html/day03/ex13_iframes.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:43:44 +0900] "GET /01_html/day03/ex13_iframes.html HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:44:18 +0900] "GET /01_html/day03/ex13_iframes.html HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:55:35 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [21/Jun/2023:14:57:37 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:03:14 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:07:13 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:07:13 +0900] "GET /01_html/images/pic_bulboff.gif%22 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:07:14 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:07:14 +0900] "GET /01_html/images/pic_bulboff.gif%22 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:08:38 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:08:38 +0900] "GET /01_html/images/pic_bulboff.gif HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:13:16 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:13:16 +0900] "GET /01_html/images/pic_bulboff.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:13:18 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:13:20 +0900] "GET /01_html/images/pic_bulbon.gif HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:18:02 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:18:02 +0900] "GET /01_html/images/pic_bulboff.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:15:20:02 +0900] "GET /01_html/day03/ex14_JS.html HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:02:44 +0900] "GET /01_html/day03/ex16_layout.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:13:03 +0900] "GET /01_html/day03/ex16_layout.html HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:13:40 +0900] "GET /01_html/day03/ex16_layout.html HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:16:31 +0900] "GET /01_html/day03/ex16_layout.html HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:17:46 +0900] "GET /01_html/day03/ex16_layout.html HTTP/1.1" 304 -
