127.0.0.1 - - [20/Jun/2023:09:45:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:45:49 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:45:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:48:34 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:52:07 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:04 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:06 +0900] "GET /01_html/day01/ex06_colors.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:08:03 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:11:48 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:12:31 +0900] "GET /01_html/day02/ex01_link.html HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:22:44 +0900] "GET /01_html/day02/ex02_aTag_Attr.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:25:15 +0900] "GET /01_html/day02/ex02_aTag_Attr.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:51:41 +0900] "GET /01_html/day02/ex03_aTagButton.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:52:20 +0900] "GET /01_html/day02/ex02_aTag_Attr.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:07:18 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:07:18 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 200 109517
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:08:45 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:08:45 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:10:37 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:10:37 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:13:14 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:13:14 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:13:27 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:16:31 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:16:31 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:18:12 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:18:12 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:18:27 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:20:41 +0900] "GET /01_html/day02/ex04_Image.html HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:20:41 +0900] "GET /01_html/images/pic_trulli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:38:17 +0900] "GET /01_html/day02/ex05_imageFloating.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:38:17 +0900] "GET /01_html/images/img_girl.jpg HTTP/1.1" 200 36836
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:39:48 +0900] "GET /01_html/day02/ex05_imageFloating.html HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:39:49 +0900] "GET /01_html/day02/ex05_imageFloating.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:48:18 +0900] "GET /01_html/day02/ex06_imageMap.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [20/Jun/2023:11:48:18 +0900] "GET /01_html/images/workplace.jpg HTTP/1.1" 200 31880
0:0:0:0:0:0:0:1 - - [20/Jun/2023:12:00:07 +0900] "GET /01_html/day02/ex06_imageMap.html HTTP/1.1" 200 854
